company_name,code,market
R003,201000,shanghai
R007,201001,shanghai
R014,201002,shanghai
R028,201003,shanghai
R091,201004,shanghai
R182,201005,shanghai
R001,201008,shanghai
R002,201009,shanghai
R004,201010,shanghai
RC001,202001,shanghai
RC003,202003,shanghai
RC007,202007,shanghai
0501R007,203007,shanghai
0501R028,203008,shanghai
0501R091,203009,shanghai
0504R007,203016,shanghai
0504R028,203017,shanghai
0504R091,203018,shanghai
0505R007,203019,shanghai
0505R028,203020,shanghai
0505R091,203021,shanghai
0509R007,203031,shanghai
0509R028,203032,shanghai
0509R091,203033,shanghai
0512R007,203040,shanghai
0512R028,203041,shanghai
0512R091,203042,shanghai
0513R007,203043,shanghai
0513R028,203044,shanghai
0513R091,203045,shanghai
0601R007,203049,shanghai
0601R028,203050,shanghai
0601R091,203051,shanghai
0603R007,203052,shanghai
0603R028,203053,shanghai
0603R091,203054,shanghai
GC001,204001,shanghai
GC002,204002,shanghai
GC003,204003,shanghai
GC004,204004,shanghai
GC007,204007,shanghai
GC014,204014,shanghai
GC028,204028,shanghai
GC091,204091,shanghai
GC182,204182,shanghai
基金金泰,500001,shanghai
基金泰和,500002,shanghai
基金安信,500003,shanghai
基金汉盛,500005,shanghai
基金裕阳,500006,shanghai
基金景阳,500007,shanghai
基金兴华,500008,shanghai
基金安顺,500009,shanghai
基金金元,500010,shanghai
基金金鑫,500011,shanghai
基金安瑞,500013,shanghai
基金汉兴,500015,shanghai
基金裕元,500016,shanghai
基金景业,500017,shanghai
基金兴和,500018,shanghai
基金普润,500019,shanghai
基金金鼎,500021,shanghai
基金汉鼎,500025,shanghai
基金兴业,500028,shanghai
基金科讯,500029,shanghai
基金汉博,500035,shanghai
基金通乾,500038,shanghai
基金同德,500039,shanghai
基金科瑞,500056,shanghai
基金银丰,500058,shanghai
国金鑫新,501000,shanghai
财通精选,501001,shanghai
能源互联,501002,shanghai
长信优选,501003,shanghai
精准医疗,501005,shanghai
互联医疗,501007,shanghai
互联医C,501008,shanghai
生物科技,501009,shanghai
生物科C,501010,shanghai
中药基金,501011,shanghai
中药C,501012,shanghai
财通升级,501015,shanghai
券商基金,501016,shanghai
国泰融丰,501017,shanghai
南方原油,501018,shanghai
军工基金,501019,shanghai
国企改,501020,shanghai
香港中小,501021,shanghai
银华鑫盛,501022,shanghai
港中小企,501023,shanghai
香港银行,501025,shanghai
财通福享,501026,shanghai
国泰融信,501027,shanghai
财通福瑞,501028,shanghai
红利基金,501029,shanghai
环境治理,501030,shanghai
环境C,501031,shanghai
财通福盛,501032,shanghai
创金睿选,501035,shanghai
中证500A,501036,shanghai
中证500C,501037,shanghai
银华明择,501038,shanghai
添富睿丰,501039,shanghai
